sha256,bytes,paths_in_same_hash_group,relativePath,outJson,blockCount
fbffe2af38853792054ab7d6bd3fd31d498b7619de15849098eb4970b9194fd9,750603,2,"doop/OneDrive_1_12-5-2026/Cronograma Académico_regular-CCE_TEC_EL_Íntegro_202625.pdf","fbffe2af_doop_OneDrive_1_12-5-2026_Cronograma_Acade_mico_regular-CCE_TEC_EL_I_ntegro_202625.json",1647
714162353d896cfe45f6161039f8fb7316b1e7f8e1a5a6e50df924f134da0647,911862,13,"doop/OneDrive_1_12-5-2026/Cronograma Ubicación-Suficiencia-Validación conocimientos de Inglés_GR-TEC-PS_D-El-P_Íntegro_202625-202630-202650.pdf","71416235_doop_OneDrive_1_12-5-2026_Cronograma_Ubicacio_n-Suficiencia-Validacio_n_conocimientos_de_Ingle_s_GR-TEC-PS_D-El-P_I_nteg.json",2106
767a5816aa3728f9ae2ec91888d3ca493c6d515a04950c28610558618ea6e6ae,584656,2,"doop/OneDrive_1_12-5-2026/Cronograma_Elaboración material educativo_TEC_EL_Íntegro.pdf","767a5816_doop_OneDrive_1_12-5-2026_Cronograma_Elaboracio_n_material_educativo_TEC_EL_I_ntegro.json",1145
fbffe2af38853792054ab7d6bd3fd31d498b7619de15849098eb4970b9194fd9,750603,2,"doop/OneDrive_2_12-5-2026/Cronograma Académico_regular-CCE_TEC_EL_Íntegro_202650.pdf","fbffe2af_doop_OneDrive_2_12-5-2026_Cronograma_Acade_mico_regular-CCE_TEC_EL_I_ntegro_202650.json",1647
714162353d896cfe45f6161039f8fb7316b1e7f8e1a5a6e50df924f134da0647,911862,13,"doop/OneDrive_2_12-5-2026/Cronograma Ubicación-Suficiencia-Validación conocimientos de Inglés_GR-TEC-PS_D-El-P_Íntegro_202625-202630-202650.pdf","71416235_doop_OneDrive_2_12-5-2026_Cronograma_Ubicacio_n-Suficiencia-Validacio_n_conocimientos_de_Ingle_s_GR-TEC-PS_D-El-P_I_nteg.json",2106
767a5816aa3728f9ae2ec91888d3ca493c6d515a04950c28610558618ea6e6ae,584656,2,"doop/OneDrive_2_12-5-2026/Cronograma_Elaboración material educativo_TEC_EL_Íntegro.pdf","767a5816_doop_OneDrive_2_12-5-2026_Cronograma_Elaboracio_n_material_educativo_TEC_EL_I_ntegro.json",1145
484e5c579666daf0930ed1a0af5270377ce8e74bd2087a54b1a48f8261d3c7b5,1137061,5,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma académico modular_GR-TEC_EL-P_Íntegro_202630.pdf","484e5c57_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_acade_mico_modular_GR-TEC_EL-P_I_.json",2128
dc23d185ab9ef63df81538759a8e1a6a0f5ed48f3f5b21784981b2abbfee0e49,2367315,4,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Académico_regular-CCE__GR-TEC__D-EL__Íntegro__202630.pdf","dc23d185_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Acade_mico_regular-CCE_GR-TEC_D-E.json",5950
714162353d896cfe45f6161039f8fb7316b1e7f8e1a5a6e50df924f134da0647,911862,13,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Ubicación-Suficiencia-Validación conocimientos de Inglés_GR-TEC-PS_D-El-P_Íntegro_202630.pdf","71416235_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Ubicacio_n-Suficiencia-Validacio_.json",2106
eee1c735ea4b9a4725d3a7b45546c4316b424bef1a1c62c2478ab9c4c3212818,3198758,9,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Unidad Integración Curricular_GR-PS-TEC_D-EL-P_Íntegro_202630.pdf","eee1c735_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Unidad_Integracio_n_Curricular_GR.json",5423
18b209296a738dfe92cf959d218e7894b1c8b4eddc7f722cd95ac38c4a112a5e,3933378,7,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Unidad Titulación Especial_GR-PS_D-P_Íntegro_202630.pdf","18b20929_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Unidad_Titulacio_n_Especial_GR-PS.json",6537
882543dbe81055bab12932d31f7aa53a932dadb831acc6eb5e3c27391c0e132d,883651,11,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Validación general_GR-PS-TEC_D-EL-P_Íntegro_202630.pdf","882543db_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Validacio_n_general_GR-PS-TEC_D-E.json",2044
d4f69b891255d2f59b8707b9b809b388943ccac7e374ec92fe6698c8adfa6e30,125788,2,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Matrículas Curso Competencias Específicas_GR_D-El__ABR-AGO_2026.pdf","d4f69b89_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Matri_culas_Curso_Competencias_Especi_ficas_.json",124
3a2bb2a3b7cb10f5c46c2669c59a82917d773fd5dd555b0e216f25594310f401,127321,2,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Matrículas Unidad Titulación Especial (UTE)_GR_D-El__ABR-AGO_2026.pdf","3a2bb2a3_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Matri_culas_Unidad_Titulacio_n_Especial_UTE_.json",127
76d833226d3d6e229f607227f32b6df13ad3ce6333024c5af6761896ebfd0184,173741,2,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Mátriculas_GR_D-EL__ABR-AGO_2026.pdf","76d83322_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Ma_triculas_GR_D-EL_ABR-AGO_2026.json",204
